Year,glacier_name,site_name,spring_date,fall_date,elevation,bw_snow_depth,bw_density,bw,ba_snow_depth,ba_density,ba,winter_ablation,summer_accumulation_snow_depth,summer_accumulation_density,summer_accumulation
,,,,,,,,,,,,,,,
,Kahiltna,,,,,,,,,,,,,,
1991,,K17b,5/7/91,8/29/91,1928,nan,nan,1.17,nan,nan,0.74,nan,nan,nan,0
1992,,K29,5/23/92,8/26/92,1492,nan,nan,0.83,nan,nan,-1.22,nan,nan,nan,0.1
1992,,K17b,5/23/92,8/26/92,1926,nan,nan,0.92,nan,nan,-0.46,0,nan,nan,0.01
1993,,K29,6/1/93,8/25/93,1492,nan,nan,0.7,nan,nan,-1.14,nan,nan,nan,0.04
1993,,K17b,6/2/93,8/25/93,1923,nan,nan,0.92,nan,nan,0.39,-0.07,nan,nan,0.09
1994,,K29,6/4/94,8/30/94,1492,nan,nan,0.99,nan,nan,-0.76,nan,nan,nan,0
1994,,K17b,6/4/94,8/30/94,1922,nan,nan,1.51,nan,nan,1.1,nan,nan,nan,nan
1995,,K29,6/6/95,8/25/95,1492,nan,nan,0.62,nan,nan,-1.32,nan,nan,nan,0
1995,,K17b,6/6/95,8/28/95,1922,nan,nan,0.48,nan,nan,-0.46,nan,nan,nan,0.13
1996,,K17b,5/29/96,8/27/96,1923,nan,nan,0.83,nan,nan,0.56,nan,nan,nan,0.13
1997,,K17b,6/3/97,9/2/97,1925,nan,nan,0.8,nan,nan,-0.11,-0.25,nan,nan,0
1998,,K17b,6/18/98,8/28/98,1921,nan,nan,1.01,nan,nan,0.6,-0.36,nan,nan,0.14
1999,,K17b,6/10/99,9/14/99,1916,nan,nan,0.83,nan,nan,0.1,nan,nan,nan,0.1
2000,,K17b,nan,9/30/00,1916,nan,nan,nan,nan,nan,0.85,nan,nan,nan,nan
2001,,K17b,6/6/01,9/12/01,1903,nan,nan,0.84,nan,nan,0.38,nan,nan,nan,0.53
2002,,K17b,5/17/02,9/10/02,1901,nan,nan,0.61,nan,nan,-0.34,nan,nan,nan,nan
2003,,K17b,4/30/03,8/22/03,1907,nan,nan,0.95,nan,nan,0.78,nan,nan,nan,0.01
2004,,K17b,5/21/04,9/7/04,1918,nan,nan,0.9,nan,nan,-0.64,-0.06,nan,nan,0
2005,,K17b,5/18/05,9/2/05,1917,nan,nan,1.21,nan,nan,0.03,0,nan,nan,0.07
